Email,Name,Birthday,PhoneNumber,Address,
123test@test.net,John Smith,5/2/89,1112223333,"123 Test Addy, Cbus, OH 43210",
456test@test.net,Bob Davis,8/7/02,4445556666,"456 Test Addy, Cbus, OH 43210",
789test@test.net,Petunia Brown,9/3/99,7778889999,"789 Test Addy, Cbus, OH 43210",
111test@test.net,Dylan McCurry,7/12/89,1541792503,"1122 Test Addy, Cbus, OH 43210",
222test@test.net,Maggie Brown,3/17/02,1610850446,"1455 Test Addy, Cbus, OH 43210",
333test@test.net,Alexa Zwied,9/13/99,6679176164,"1788 Test Addy, Cbus, OH 43210",
444test@test.net,Jay Bommana,5/14/89,5320479282,"2121 Test Addy, Cbus, OH 43210",
555test@test.net,Ali Mho,1/7/02,8332494273,"2454 Test Addy, Cbus, OH 43210",
666test@test.net,Jaash Atluri,6/6/99,8220055379,"2787 Test Addy, Cbus, OH 43210",
777test@test.net,Jason Li,5/2/89,1554190594,"3120 Test Addy, Cbus, OH 43210",
1workHere@bitsbook.org,Andrew Chu,8/8/00,1234567890,"111 idklol Dr., Cle, OH 44169",
2workHere@bitsbook.org,LeShaun Brown,5/6/79,7891234567,"222 idklol Dr., Cle, OH 44169",
3workHere@bitsbook.org,Raj Patel,12/31/99,3336669999,"333 idklol Dr., Cle, OH 44169",
4workHere@bitsbook.org,Emma Watson,4/29/00,6751084305,"444 idklol Dr., Cle, OH 44169",
5workHere@bitsbook.org,Arshini Bhatt,3/5/96,3744754737,"555 idklol Dr., Cle, OH 44169",
6workHere@bitsbook.org,Jane Doe,7/18/04,9099930645,"666 idklol Dr., Cle, OH 44169",
7workHere@bitsbook.org,Michael Jones,9/9/99,7847024141,"777 idklol Dr., Cle, OH 44169",
8workHere@bitsbook.org,DeShaun Watson,2/2/02,7659005215,"888 idklol Dr., Cle, OH 44169",
9workHere@bitsbook.org,Thomas Bradful,11/14/97,9724943501,"999 idklol Dr., Cle, OH 44169",
10workHere@bitsbook.org,Brett Mason,1/1/03,1953695396,"1110 idklol Dr., Cle, OH 44169",
sybex@seller.org,Sybex,1/1/00,8005556666,1 Book Dr.,
mcgrawhillosbornemedia@seller.org,McGrawHillOsborneMedia,1/2/00,9523859260,2 Book Dr.,
johnwiley&sons@seller.org,JohnWiley&Sons,1/3/00,3056341580,3 Book Dr.,
morgankaufmann@seller.org,MorganKaufmann,1/4/00,9102718979,4 Book Dr.,
"schmidtink,inc.@seller.org","SchmidtInk,Inc.",1/5/00,9731890794,5 Book Dr.,
addisonwesleypubco@seller.org,AddisonWesleyPubCo,1/6/00,9305054823,6 Book Dr.,
macromediapress@seller.org,MacromediaPress,1/7/00,8171861706,7 Book Dr.,
addisonwesleypublishing@seller.org,AddisonWesleyPublishing,1/8/00,8968262667,8 Book Dr.,
wroxpressinc@seller.org,WroxPressInc,1/9/00,2549377134,9 Book Dr.,
berkleypubgroup@seller.org,BerkleyPubGroup,1/10/00,3976671586,10 Book Dr.,
penguinusa@seller.org,PenguinUSA,1/11/00,4552052079,11 Book Dr.,
o'reilly&associates@seller.org,O'Reilly&Associates,1/12/00,7910315907,12 Book Dr.,
mcgrawhilltrade@seller.org,McGrawHillTrade,1/13/00,8770910082,13 Book Dr.,
picador@seller.org,Picador,1/14/00,1028037062,14 Book Dr.,
st.martin'spress@seller.org,St.Martin'sPress,1/15/00,3618661571,15 Book Dr.,
crownpub@seller.org,CrownPub,1/16/00,1517364100,16 Book Dr.,
littlebrown&company@seller.org,LittleBrown&Company,1/17/00,6179351448,17 Book Dr.,
simon&schuster@seller.org,Simon&Schuster,1/18/00,2531733326,18 Book Dr.,
harpercollins@seller.org,HarperCollins,1/19/00,7661333251,19 Book Dr.,
josseybass@seller.org,JosseyBass,1/20/00,9853805459,20 Book Dr.,
multnomahpublishersinc.@seller.org,MultnomahPublishersInc.,1/21/00,7203584909,21 Book Dr.,
perennial@seller.org,Perennial,1/22/00,6153490717,22 Book Dr.,
dellpubco@seller.org,DellPubCo,1/23/00,3041752099,23 Book Dr.,
harlequin@seller.org,Harlequin,1/24/00,5256320837,24 Book Dr.,
vikingpress@seller.org,VikingPress,1/25/00,1597292679,25 Book Dr.,
perseuspublishing@seller.org,PerseusPublishing,1/26/00,2106114898,26 Book Dr.,
knopf@seller.org,Knopf,1/27/00,8363605694,27 Book Dr.,
"wolframmedia,inc.@seller.org","WolframMedia,Inc.",1/28/00,9368894279,28 Book Dr.,
fireside@seller.org,Fireside,1/29/00,255586265,29 Book Dr.,
randomhousetradepaperbacks@seller.org,RandomHouseTradePaperbacks,1/30/00,8660818343,30 Book Dr.,
gibbssmithpublisher@seller.org,GibbsSmithPublisher,1/31/00,2880508980,31 Book Dr.,
vendomepr@seller.org,VendomePr,2/1/00,85570253,32 Book Dr.,
clarksonn.potter@seller.org,ClarksonN.Potter,2/2/00,1183081429,33 Book Dr.,
mitpress@seller.org,MITPress,2/3/00,7466023615,34 Book Dr.,
mcgrawhill/irwin@seller.org,McGrawHill/Irwin,2/4/00,7911395846,35 Book Dr.,
southwesterncollegepub@seller.org,SouthWesternCollegePub,2/5/00,3408487969,36 Book Dr.,
prenticehall@seller.org,PrenticeHall,2/6/00,640389611,37 Book Dr.,
warnerbooks@seller.org,WarnerBooks,2/7/00,898020275,38 Book Dr.,
scribner@seller.org,Scribner,2/8/00,7987217108,39 Book Dr.,
pocketbooks@seller.org,PocketBooks,2/9/00,1725711831,40 Book Dr.,
pantheonbooks@seller.org,PantheonBooks,2/10/00,587841154,41 Book Dr.,
delrey@seller.org,DelRey,2/11/00,3812575833,42 Book Dr.,
doubleday@seller.org,Doubleday,2/12/00,7514519252,43 Book Dr.,
"donaldm.grantpublisher,inc.@seller.org","DonaldM.GrantPublisher,Inc.",2/13/00,7916496985,44 Book Dr.,
vintagebooks@seller.org,VintageBooks,2/14/00,7861266056,45 Book Dr.,
scribnerpaperbackfiction@seller.org,ScribnerPaperbackFiction,2/15/00,8479433916,46 Book Dr.,
harvestbooks@seller.org,HarvestBooks,2/16/00,9196728882,47 Book Dr.,
harperperenniallibrary@seller.org,HarperperennialLibrary,2/17/00,640195074,48 Book Dr.,
w.w.norton&company@seller.org,W.W.Norton&Company,2/18/00,8090893136,49 Book Dr.,
prenticehallptr@seller.org,PrenticeHallPTR,2/19/00,758465075,50 Book Dr.,
newriderspublishing@seller.org,NewRidersPublishing,2/20/00,9793397304,51 Book Dr.,
ballantinebooks@seller.org,BallantineBooks,2/21/00,208253149,52 Book Dr.,
randomhouse@seller.org,RandomHouse,2/22/00,7998748304,53 Book Dr.,
backbaybooks@seller.org,BackBayBooks,2/24/00,7737973755,55 Book Dr.,
anchorbooks@seller.org,AnchorBooks,2/25/00,632336779,56 Book Dr.,
putnampubgroup@seller.org,PutnamPubGroup,2/26/00,9111283188,57 Book Dr.,
silhouette@seller.org,Silhouette,2/27/00,4734483402,58 Book Dr.,
tauntonpr@seller.org,TauntonPr,2/28/00,3908574568,59 Book Dr.,
larkbooks@seller.org,LarkBooks,2/29/00,5401983585,60 Book Dr.,
,,,,,
