Email,Name,Birthday,PhoneNumber,Address,StorePoints
123test@test.net,John Smith,5/2/89,1112223333,"123 Test Addy, Cbus, OH 43210",45
456test@test.net,Bob Davis,8/7/02,4445556666,"456 Test Addy, Cbus, OH 43210",109
789test@test.net,Petunia Brown,9/3/99,7778889999,"789 Test Addy, Cbus, OH 43210",5673
111test@test.net,Dylan McCurry,7/12/89,1541792503,"1122 Test Addy, Cbus, OH 43210",4958
222test@test.net,Maggie Brown,3/17/02,1610850446,"1455 Test Addy, Cbus, OH 43210",3090
333test@test.net,Alexa Zwied,9/13/99,6679176164,"1788 Test Addy, Cbus, OH 43210",2799
444test@test.net,Jay Bommana,5/14/89,5320479282,"2121 Test Addy, Cbus, OH 43210",1801
555test@test.net,Ali Mho,1/7/02,8332494273,"2454 Test Addy, Cbus, OH 43210",8913
666test@test.net,Jaash Atluri,6/6/99,8220055379,"2787 Test Addy, Cbus, OH 43210",8429
777test@test.net,Jason Li,5/2/89,1554190594,"3120 Test Addy, Cbus, OH 43210",6568
